RampingRate,FlowRateGas,Time,PositionSulphur,PositionSilicon,LineWidth,Class
20,0.23,15,15,15,0.047824067,0
5,0.14,15,16,12,0.049384646,0
10,0.14,15,16,12,0.049223516,0
15,0.14,15,16,12,0.049232382,0
20,0.14,15,16,12,0.05073,0
5,0.17,15,16,12,0.047495722,0
10,0.17,15,16,12,0.046883577,0
15,0.17,15,16,12,0.046585266,0
20,0.17,15,16,12,0.046689084,0
5,0.2,15,16,12,0.046736688,0
10,0.2,15,16,12,0.04582825,0
15,0.2,15,16,12,0.04543103,0
20,0.2,15,16,12,0.045661567,0
5,0.23,15,16,12,0.04856787,0
10,0.23,15,16,12,0.048148071,0
15,0.23,15,16,12,0.047978782,0
20,0.23,15,16,12,0.048068338,0
5,0.14,15,16,15,0.04603,0
10,0.14,15,16,15,0.044647604,0
15,0.14,15,16,15,0.04211,0
20,0.14,15,16,15,0.04217,0
5,0.17,15,16,15,0.044789922,0
10,0.17,15,16,15,0.043156448,0
15,0.17,15,16,15,0.041094,0
20,0.17,15,16,15,0.03789,0
5,0.2,15,16,15,0.046409019,0
10,0.2,15,16,15,0.045458751,0
15,0.2,15,16,15,0.044904444,0
20,0.2,15,16,15,0.044912231,0
5,0.23,15,16,15,,1
10,0.23,15,16,15,0.047965377,0
15,0.23,15,16,15,0.04678,0
20,0.23,15,16,15,0.047824067,0
5,0.14,20,14,12,,1
10,0.14,20,14,12,,1
15,0.14,20,14,12,,1
20,0.14,20,14,12,,1
5,0.17,20,14,12,,1
10,0.17,20,14,12,,1
15,0.17,20,14,12,,1
20,0.17,20,14,12,,1
5,0.2,20,14,12,,1
10,0.2,20,14,12,,1
15,0.2,20,14,12,,1
20,0.2,20,14,12,,1
5,0.23,20,14,12,,1
10,0.23,20,14,12,,1
15,0.23,20,14,12,,1
20,0.23,20,14,12,,1
5,0.14,20,14,15,,1
10,0.14,20,14,15,,1
15,0.14,20,14,15,,1
20,0.14,20,14,15,,1
5,0.17,20,14,15,,1
10,0.17,20,14,15,,1
15,0.17,20,14,15,,1
20,0.17,20,14,15,,1
5,0.2,20,14,15,,1
10,0.2,20,14,15,,1
15,0.2,20,14,15,,1
20,0.2,20,14,15,,1
5,0.23,20,14,15,,1
10,0.23,20,14,15,,1
15,0.23,20,14,15,,1
20,0.23,20,14,15,,1
5,0.14,20,15,12,0.06128,0
10,0.14,20,15,12,0.054833518,0
15,0.14,20,15,12,0.053617022,0
20,0.14,20,15,12,0.052495266,0
5,0.17,20,15,12,0.054636512,0
10,0.17,20,15,12,0.054238824,0
15,0.17,20,15,12,0.053580651,0
20,0.17,20,15,12,0.052856887,0
5,0.2,20,15,12,,1
10,0.2,20,15,12,,1
15,0.2,20,15,12,0.054048628,0
20,0.2,20,15,12,0.053588886,0
5,0.23,20,15,12,,1
10,0.23,20,15,12,,1
15,0.23,20,15,12,0.052908352,0
20,0.23,20,15,12,0.052941112,0
5,0.14,20,15,15,,1
